obj,time,method,robj
188.53344645870592,36.211561754,PGD,0.30067957206032314
188.53344416155156,36.213584415,PGD,0.30067727490595597
188.5334418643984,36.215606735,PGD,0.30067497775281093
188.53343956724814,36.217617477,PGD,0.3006726806025365
188.5334372700991,36.219628965,PGD,0.3006703834535126
188.53343497295478,36.221657051,PGD,0.3006680863091783
188.5334326758115,36.223709965,PGD,0.3006657891658956
188.5334303786713,36.225741077,PGD,0.30066349202571085
188.53342808153337,36.227740495,PGD,0.30066119488777143
188.53342578439725,36.229723094,PGD,0.300658897751651
188.53342348726454,36.231702234,PGD,0.30065660061894117
188.5334211901344,36.233696345,PGD,0.3006543034887893
188.53341889300648,36.235651171,PGD,0.30065200636088274
188.5334165958802,36.237582482,PGD,0.3006497092345962
188.53341429875735,36.239511678999996,PGD,0.3006474121117487
188.53341200163615,36.241517114,PGD,0.3006451149905497
188.53340970451845,36.24353629,PGD,0.3006428178728465
188.53340740740254,36.245523612999996,PGD,0.3006405207569339
188.53340511028864,36.250043622,PGD,0.30063822364303927
188.53340281317773,36.252296176,PGD,0.3006359265321289
188.53340051606835,36.254359154999996,PGD,0.3006336294227533
188.53339821896267,36.2563933,PGD,0.3006313323170725
188.53339592185873,36.258419028999995,PGD,0.30062903521312545
188.53339362475845,36.260456945,PGD,0.3006267381128448
188.53339132765961,36.26246687,PGD,0.30062444101401364
188.53338903056323,36.264427556,PGD,0.30062214391762676
188.53338673346818,36.266379938,PGD,0.3006198468225757
188.5333844363771,36.268342497,PGD,0.3006175497315037
188.53338213928896,36.270349198,PGD,0.3006152526433591
188.53337984220232,36.272373469,PGD,0.30061295555672085
188.53337754511855,36.274404534,PGD,0.3006106584729532
188.5333752480355,36.276418213999996,PGD,0.3006083613898961
188.53337295095736,36.278427291999996,PGD,0.30060606431175596
188.53337065388058,36.280461478999996,PGD,0.30060376723498006
188.53336835680687,36.282507746,PGD,0.3006014701612737
188.53336605973436,36.284517652,PGD,0.30059917308876105
188.5333637626648,36.286544034,PGD,0.30059687601920426
188.53336146559957,36.288580009,PGD,0.3005945789539676
188.53335916853456,36.290614412,PGD,0.30059228188895826
188.53335687147205,36.292596952,PGD,0.30058998482645005
188.53335457441358,36.294573647,PGD,0.30058768776797773
188.53335227735582,36.296519886999995,PGD,0.30058539071021595
188.53334998030144,36.298471221,PGD,0.30058309365583635
188.53334768324797,36.300484603,PGD,0.30058079660236625
188.53334538619958,36.30251261,PGD,0.30057849955398364
188.5333430891517,36.304522438999996,PGD,0.3005762025061126
188.53334079210703,36.306554947,PGD,0.3005739054614248
188.53333849506487,36.30858394,PGD,0.30057160841926656
188.53333619802487,36.310621158,PGD,0.30056931137926834
188.53333390098751,36.312650682,PGD,0.30056701434191335
188.53333160395306,36.314666744,PGD,0.3005647173074574
188.53332930691994,36.316662281,PGD,0.3005624202743372
188.53332700989031,36.318668934,PGD,0.30056012324471293
188.53332471286308,36.320671020999995,PGD,0.30055782621747607
188.5333224158372,36.322646053,PGD,0.30055552919160344
188.53332011881426,36.324610569,PGD,0.30055323216865826
188.5333178217943,36.32659457799999,PGD,0.30055093514869735
188.53331552477732,36.32868159299999,PGD,0.3005486381317207
188.53331322776106,36.330786827,PGD,0.30054634111545464
188.5333109307483,36.33281952899999,PGD,0.30054404410271285
188.53330863373736,36.33485577599999,PGD,0.3005417470917616
188.53330633673008,36.33686925199999,PGD,0.3005394500844768
188.53330403972376,36.33886851799999,PGD,0.3005371530781583
188.53330174272173,36.34089020799999,PGD,0.3005348560761315
188.5332994457205,36.342894607999995,PGD,0.3005325590749005
188.53329714872123,36.34491174699999,PGD,0.3005302620756306
188.53329485172708,36.34693406899999,PGD,0.3005279650814766
